trial,block,A,B,C,D,E,F,type,code,odor_number,flow,total_odor_flow,carrier_out
1,1,0,1,1,0,0,1,011001,25,3,33.333333333333336,100,800
2,1,1,1,1,1,1,0,111110,62,5,20.0,100,800
3,1,0,0,0,0,0,1,000001,1,1,100.0,100,800
4,1,0,1,1,1,0,1,011101,29,4,25.0,100,800
5,1,1,1,0,0,0,0,110000,48,2,50.0,100,800
6,1,1,0,1,1,1,1,101111,47,5,20.0,100,800
7,1,1,1,0,1,1,1,110111,55,5,20.0,100,800
8,1,1,0,1,1,0,1,101101,45,4,25.0,100,800
9,1,0,0,0,1,0,1,000101,5,2,50.0,100,800
10,1,1,1,1,1,0,0,111100,60,4,25.0,100,800
11,1,0,0,1,1,1,1,001111,15,4,25.0,100,800
12,1,1,0,1,0,1,0,101010,42,3,33.333333333333336,100,800
13,1,1,1,1,0,0,1,111001,57,4,25.0,100,800
14,1,0,1,1,1,1,0,011110,30,4,25.0,100,800
15,1,1,0,0,1,1,1,100111,39,4,25.0,100,800
16,1,1,0,1,1,1,0,101110,46,4,25.0,100,800
17,1,1,0,1,1,0,0,101100,44,3,33.333333333333336,100,800
18,1,1,0,0,0,0,0,100000,32,1,100.0,100,800
19,1,0,1,1,0,0,0,011000,24,2,50.0,100,800
20,1,0,0,0,0,1,0,000010,2,1,100.0,100,800
21,1,0,0,1,0,0,1,001001,9,2,50.0,100,800
22,1,0,0,0,1,1,1,000111,7,3,33.333333333333336,100,800
23,1,0,0,0,1,0,0,000100,4,1,100.0,100,800
24,1,0,1,0,1,0,1,010101,21,3,33.333333333333336,100,800
25,1,0,1,1,0,1,1,011011,27,4,25.0,100,800
26,1,1,0,0,1,0,0,100100,36,2,50.0,100,800
27,1,0,1,0,0,1,0,010010,18,2,50.0,100,800
28,1,0,1,0,0,0,1,010001,17,2,50.0,100,800
29,1,1,0,0,0,1,1,100011,35,3,33.333333333333336,100,800
30,1,1,1,1,0,1,1,111011,59,5,20.0,100,800
31,1,1,1,1,0,1,0,111010,58,4,25.0,100,800
32,1,0,0,1,1,0,0,001100,12,2,50.0,100,800
33,1,0,0,0,0,1,1,000011,3,2,50.0,100,800
34,1,1,1,0,0,0,1,110001,49,3,33.333333333333336,100,800
35,1,1,0,1,0,1,1,101011,43,4,25.0,100,800
36,1,1,0,1,0,0,0,101000,40,2,50.0,100,800
37,1,1,0,0,1,0,1,100101,37,3,33.333333333333336,100,800
38,1,0,1,0,1,1,0,010110,22,3,33.333333333333336,100,800
39,1,0,0,1,1,1,0,001110,14,3,33.333333333333336,100,800
40,1,0,1,1,0,1,0,011010,26,3,33.333333333333336,100,800
41,1,0,0,1,0,0,0,001000,8,1,100.0,100,800
42,1,1,0,1,0,0,1,101001,41,3,33.333333333333336,100,800
43,1,0,0,0,0,0,0,000000,0,0,0.0,0,900
44,1,1,1,1,0,0,0,111000,56,3,33.333333333333336,100,800
45,1,1,1,1,1,1,1,111111,63,6,16.666666666666668,100,800
46,1,0,1,0,1,1,1,010111,23,4,25.0,100,800
47,1,0,0,1,1,0,1,001101,13,3,33.333333333333336,100,800
48,1,1,1,0,0,1,0,110010,50,3,33.333333333333336,100,800
49,1,0,1,0,0,0,0,010000,16,1,100.0,100,800
50,1,0,1,0,0,1,1,010011,19,3,33.333333333333336,100,800
51,1,0,1,1,1,1,1,011111,31,5,20.0,100,800
52,1,1,0,0,0,1,0,100010,34,2,50.0,100,800
53,1,0,1,1,1,0,0,011100,28,3,33.333333333333336,100,800
54,1,0,1,0,1,0,0,010100,20,2,50.0,100,800
55,1,0,0,1,0,1,1,001011,11,3,33.333333333333336,100,800
56,1,1,0,0,0,0,1,100001,33,2,50.0,100,800
57,1,1,1,0,1,0,1,110101,53,4,25.0,100,800
58,1,0,0,0,1,1,0,000110,6,2,50.0,100,800
59,1,1,1,0,1,1,0,110110,54,4,25.0,100,800
60,1,1,1,1,1,0,1,111101,61,5,20.0,100,800
61,1,1,0,0,1,1,0,100110,38,3,33.333333333333336,100,800
62,1,0,0,1,0,1,0,001010,10,2,50.0,100,800
63,1,1,1,0,0,1,1,110011,51,4,25.0,100,800
64,1,1,1,0,1,0,0,110100,52,3,33.333333333333336,100,800
65,2,1,0,1,1,1,1,101111,47,5,20.0,100,800
66,2,0,0,1,1,0,0,001100,12,2,50.0,100,800
67,2,0,0,0,0,0,1,000001,1,1,100.0,100,800
68,2,0,0,0,0,1,0,000010,2,1,100.0,100,800
69,2,0,1,1,1,1,0,011110,30,4,25.0,100,800
70,2,0,0,1,1,0,1,001101,13,3,33.333333333333336,100,800
71,2,1,0,0,1,0,1,100101,37,3,33.333333333333336,100,800
72,2,1,0,1,1,0,1,101101,45,4,25.0,100,800
73,2,0,1,1,1,0,0,011100,28,3,33.333333333333336,100,800
74,2,0,1,0,0,1,1,010011,19,3,33.333333333333336,100,800
75,2,1,0,1,0,0,1,101001,41,3,33.333333333333336,100,800
76,2,1,1,1,0,0,0,111000,56,3,33.333333333333336,100,800
77,2,0,1,0,1,1,1,010111,23,4,25.0,100,800
78,2,0,1,0,1,1,0,010110,22,3,33.333333333333336,100,800
79,2,1,0,0,0,0,0,100000,32,1,100.0,100,800
80,2,1,1,1,1,1,1,111111,63,6,16.666666666666668,100,800
81,2,1,1,0,1,1,1,110111,55,5,20.0,100,800
82,2,0,0,1,0,0,0,001000,8,1,100.0,100,800
83,2,1,1,0,0,0,1,110001,49,3,33.333333333333336,100,800
84,2,1,1,0,1,0,0,110100,52,3,33.333333333333336,100,800
85,2,0,0,0,0,1,1,000011,3,2,50.0,100,800
86,2,1,0,0,1,1,0,100110,38,3,33.333333333333336,100,800
87,2,1,1,0,1,1,0,110110,54,4,25.0,100,800
88,2,0,0,0,1,1,1,000111,7,3,33.333333333333336,100,800
89,2,0,1,0,1,0,0,010100,20,2,50.0,100,800
90,2,1,1,0,0,0,0,110000,48,2,50.0,100,800
91,2,1,1,1,1,1,0,111110,62,5,20.0,100,800
92,2,0,1,0,0,0,1,010001,17,2,50.0,100,800
93,2,1,0,1,0,1,1,101011,43,4,25.0,100,800
94,2,0,1,0,1,0,1,010101,21,3,33.333333333333336,100,800
95,2,1,0,0,0,0,1,100001,33,2,50.0,100,800
96,2,0,0,1,1,1,1,001111,15,4,25.0,100,800
97,2,0,1,1,0,1,1,011011,27,4,25.0,100,800
98,2,0,1,1,0,1,0,011010,26,3,33.333333333333336,100,800
99,2,0,0,0,1,1,0,000110,6,2,50.0,100,800
100,2,1,1,0,1,0,1,110101,53,4,25.0,100,800
101,2,0,1,0,0,0,0,010000,16,1,100.0,100,800
102,2,0,1,0,0,1,0,010010,18,2,50.0,100,800
103,2,0,1,1,0,0,0,011000,24,2,50.0,100,800
104,2,0,0,1,0,1,0,001010,10,2,50.0,100,800
105,2,1,1,1,0,1,1,111011,59,5,20.0,100,800
106,2,0,0,1,0,1,1,001011,11,3,33.333333333333336,100,800
107,2,1,0,0,0,1,0,100010,34,2,50.0,100,800
108,2,1,1,1,0,1,0,111010,58,4,25.0,100,800
109,2,0,0,0,1,0,0,000100,4,1,100.0,100,800
110,2,1,0,0,0,1,1,100011,35,3,33.333333333333336,100,800
111,2,0,1,1,0,0,1,011001,25,3,33.333333333333336,100,800
112,2,1,1,1,1,0,1,111101,61,5,20.0,100,800
113,2,0,0,0,1,0,1,000101,5,2,50.0,100,800
114,2,1,1,1,1,0,0,111100,60,4,25.0,100,800
115,2,0,0,1,0,0,1,001001,9,2,50.0,100,800
116,2,1,1,0,0,1,1,110011,51,4,25.0,100,800
117,2,0,0,1,1,1,0,001110,14,3,33.333333333333336,100,800
118,2,1,0,1,0,0,0,101000,40,2,50.0,100,800
119,2,0,1,1,1,1,1,011111,31,5,20.0,100,800
120,2,1,1,1,0,0,1,111001,57,4,25.0,100,800
121,2,1,0,1,0,1,0,101010,42,3,33.333333333333336,100,800
122,2,1,1,0,0,1,0,110010,50,3,33.333333333333336,100,800
123,2,0,0,0,0,0,0,000000,0,0,0.0,0,900
124,2,1,0,0,1,0,0,100100,36,2,50.0,100,800
125,2,1,0,0,1,1,1,100111,39,4,25.0,100,800
126,2,1,0,1,1,1,0,101110,46,4,25.0,100,800
127,2,1,0,1,1,0,0,101100,44,3,33.333333333333336,100,800
128,2,0,1,1,1,0,1,011101,29,4,25.0,100,800
129,3,1,1,0,1,0,0,110100,52,3,33.333333333333336,100,800
130,3,0,0,0,0,0,0,000000,0,0,0.0,0,900
131,3,1,1,1,0,0,0,111000,56,3,33.333333333333336,100,800
132,3,1,0,1,1,1,0,101110,46,4,25.0,100,800
133,3,0,0,1,1,1,1,001111,15,4,25.0,100,800
134,3,0,0,1,1,0,1,001101,13,3,33.333333333333336,100,800
135,3,0,1,0,1,0,1,010101,21,3,33.333333333333336,100,800
136,3,0,0,0,1,0,1,000101,5,2,50.0,100,800
137,3,1,0,1,0,1,1,101011,43,4,25.0,100,800
138,3,1,1,0,0,0,1,110001,49,3,33.333333333333336,100,800
139,3,0,1,0,0,1,0,010010,18,2,50.0,100,800
140,3,0,1,0,1,1,0,010110,22,3,33.333333333333336,100,800
141,3,0,1,0,1,0,0,010100,20,2,50.0,100,800
142,3,0,0,0,0,1,0,000010,2,1,100.0,100,800
143,3,0,0,1,0,1,0,001010,10,2,50.0,100,800
144,3,0,0,1,0,0,0,001000,8,1,100.0,100,800
145,3,1,0,0,0,1,0,100010,34,2,50.0,100,800
146,3,1,0,0,0,1,1,100011,35,3,33.333333333333336,100,800
147,3,0,1,0,0,0,0,010000,16,1,100.0,100,800
148,3,1,1,1,1,1,1,111111,63,6,16.666666666666668,100,800
149,3,1,0,0,1,0,0,100100,36,2,50.0,100,800
150,3,1,0,1,1,0,0,101100,44,3,33.333333333333336,100,800
151,3,0,1,1,0,1,0,011010,26,3,33.333333333333336,100,800
152,3,1,1,0,0,1,1,110011,51,4,25.0,100,800
153,3,1,1,0,1,1,1,110111,55,5,20.0,100,800
154,3,1,1,0,0,1,0,110010,50,3,33.333333333333336,100,800
155,3,1,1,1,1,0,1,111101,61,5,20.0,100,800
156,3,0,0,1,0,1,1,001011,11,3,33.333333333333336,100,800
157,3,1,1,1,0,0,1,111001,57,4,25.0,100,800
158,3,1,1,1,0,1,0,111010,58,4,25.0,100,800
159,3,0,1,1,0,0,0,011000,24,2,50.0,100,800
160,3,1,0,0,0,0,0,100000,32,1,100.0,100,800
161,3,1,1,1,0,1,1,111011,59,5,20.0,100,800
162,3,1,0,0,0,0,1,100001,33,2,50.0,100,800
163,3,1,1,0,1,1,0,110110,54,4,25.0,100,800
164,3,1,0,1,0,0,1,101001,41,3,33.333333333333336,100,800
165,3,1,0,1,1,0,1,101101,45,4,25.0,100,800
166,3,1,0,0,1,1,1,100111,39,4,25.0,100,800
167,3,0,1,1,0,1,1,011011,27,4,25.0,100,800
168,3,0,0,0,1,1,1,000111,7,3,33.333333333333336,100,800
169,3,0,1,1,0,0,1,011001,25,3,33.333333333333336,100,800
170,3,1,0,0,1,1,0,100110,38,3,33.333333333333336,100,800
171,3,0,0,0,0,1,1,000011,3,2,50.0,100,800
172,3,0,1,0,0,1,1,010011,19,3,33.333333333333336,100,800
173,3,1,0,1,1,1,1,101111,47,5,20.0,100,800
174,3,0,1,1,1,1,0,011110,30,4,25.0,100,800
175,3,0,1,1,1,0,1,011101,29,4,25.0,100,800
176,3,0,0,1,1,0,0,001100,12,2,50.0,100,800
177,3,0,0,1,1,1,0,001110,14,3,33.333333333333336,100,800
178,3,0,1,1,1,0,0,011100,28,3,33.333333333333336,100,800
179,3,1,0,0,1,0,1,100101,37,3,33.333333333333336,100,800
180,3,1,1,0,0,0,0,110000,48,2,50.0,100,800
181,3,0,0,1,0,0,1,001001,9,2,50.0,100,800
182,3,0,0,0,1,1,0,000110,6,2,50.0,100,800
183,3,1,1,1,1,0,0,111100,60,4,25.0,100,800
184,3,1,0,1,0,0,0,101000,40,2,50.0,100,800
185,3,0,1,0,0,0,1,010001,17,2,50.0,100,800
186,3,0,0,0,1,0,0,000100,4,1,100.0,100,800
187,3,0,1,1,1,1,1,011111,31,5,20.0,100,800
188,3,1,0,1,0,1,0,101010,42,3,33.333333333333336,100,800
189,3,0,1,0,1,1,1,010111,23,4,25.0,100,800
190,3,1,1,0,1,0,1,110101,53,4,25.0,100,800
191,3,0,0,0,0,0,1,000001,1,1,100.0,100,800
192,3,1,1,1,1,1,0,111110,62,5,20.0,100,800
193,4,1,1,1,0,1,0,111010,58,4,25.0,100,800
194,4,0,0,1,1,1,1,001111,15,4,25.0,100,800
195,4,0,1,1,0,1,1,011011,27,4,25.0,100,800
196,4,1,1,0,1,1,1,110111,55,5,20.0,100,800
197,4,0,0,0,1,0,0,000100,4,1,100.0,100,800
198,4,1,1,0,0,1,1,110011,51,4,25.0,100,800
199,4,1,0,0,1,0,1,100101,37,3,33.333333333333336,100,800
200,4,0,0,1,1,1,0,001110,14,3,33.333333333333336,100,800
201,4,1,0,1,1,0,1,101101,45,4,25.0,100,800
202,4,0,1,0,1,1,1,010111,23,4,25.0,100,800
203,4,1,1,1,0,0,0,111000,56,3,33.333333333333336,100,800
204,4,1,0,0,0,0,1,100001,33,2,50.0,100,800
205,4,0,1,0,1,0,0,010100,20,2,50.0,100,800
206,4,0,0,0,1,1,0,000110,6,2,50.0,100,800
207,4,1,0,1,1,1,0,101110,46,4,25.0,100,800
208,4,0,0,1,0,0,1,001001,9,2,50.0,100,800
209,4,1,1,0,0,0,0,110000,48,2,50.0,100,800
210,4,0,0,1,1,0,1,001101,13,3,33.333333333333336,100,800
211,4,1,0,1,0,0,1,101001,41,3,33.333333333333336,100,800
212,4,1,1,0,0,1,0,110010,50,3,33.333333333333336,100,800
213,4,0,0,0,0,1,0,000010,2,1,100.0,100,800
214,4,1,1,0,0,0,1,110001,49,3,33.333333333333336,100,800
215,4,0,0,0,1,1,1,000111,7,3,33.333333333333336,100,800
216,4,1,1,1,1,0,0,111100,60,4,25.0,100,800
217,4,1,0,0,1,1,1,100111,39,4,25.0,100,800
218,4,0,0,0,1,0,1,000101,5,2,50.0,100,800
219,4,1,1,1,1,1,1,111111,63,6,16.666666666666668,100,800
220,4,0,0,1,0,1,1,001011,11,3,33.333333333333336,100,800
221,4,1,0,1,0,0,0,101000,40,2,50.0,100,800
222,4,0,1,1,0,0,0,011000,24,2,50.0,100,800
223,4,0,1,1,0,1,0,011010,26,3,33.333333333333336,100,800
224,4,1,1,1,0,1,1,111011,59,5,20.0,100,800
225,4,0,0,0,0,0,1,000001,1,1,100.0,100,800
226,4,0,1,0,0,0,0,010000,16,1,100.0,100,800
227,4,0,1,0,0,1,1,010011,19,3,33.333333333333336,100,800
228,4,1,0,0,0,0,0,100000,32,1,100.0,100,800
229,4,1,1,0,1,0,0,110100,52,3,33.333333333333336,100,800
230,4,0,1,0,0,1,0,010010,18,2,50.0,100,800
231,4,1,1,1,0,0,1,111001,57,4,25.0,100,800
232,4,0,1,0,0,0,1,010001,17,2,50.0,100,800
233,4,0,1,1,1,1,0,011110,30,4,25.0,100,800
234,4,0,0,1,0,0,0,001000,8,1,100.0,100,800
235,4,0,1,1,1,0,1,011101,29,4,25.0,100,800
236,4,1,1,0,1,1,0,110110,54,4,25.0,100,800
237,4,1,0,0,1,1,0,100110,38,3,33.333333333333336,100,800
238,4,1,0,1,0,1,0,101010,42,3,33.333333333333336,100,800
239,4,1,0,0,0,1,1,100011,35,3,33.333333333333336,100,800
240,4,0,0,1,1,0,0,001100,12,2,50.0,100,800
241,4,1,1,1,1,0,1,111101,61,5,20.0,100,800
242,4,1,1,0,1,0,1,110101,53,4,25.0,100,800
243,4,1,0,0,1,0,0,100100,36,2,50.0,100,800
244,4,1,0,1,1,1,1,101111,47,5,20.0,100,800
245,4,1,0,1,1,0,0,101100,44,3,33.333333333333336,100,800
246,4,0,0,1,0,1,0,001010,10,2,50.0,100,800
247,4,0,1,1,0,0,1,011001,25,3,33.333333333333336,100,800
248,4,0,1,1,1,1,1,011111,31,5,20.0,100,800
249,4,0,0,0,0,0,0,000000,0,0,0.0,0,900
250,4,0,1,0,1,0,1,010101,21,3,33.333333333333336,100,800
251,4,0,0,0,0,1,1,000011,3,2,50.0,100,800
252,4,0,1,0,1,1,0,010110,22,3,33.333333333333336,100,800
253,4,1,1,1,1,1,0,111110,62,5,20.0,100,800
254,4,1,0,0,0,1,0,100010,34,2,50.0,100,800
255,4,0,1,1,1,0,0,011100,28,3,33.333333333333336,100,800
256,4,1,0,1,0,1,1,101011,43,4,25.0,100,800
257,5,0,1,1,0,0,0,011000,24,2,50.0,100,800
258,5,0,1,1,0,1,1,011011,27,4,25.0,100,800
259,5,0,1,0,0,0,0,010000,16,1,100.0,100,800
260,5,1,1,0,1,1,1,110111,55,5,20.0,100,800
261,5,0,0,0,0,1,1,000011,3,2,50.0,100,800
262,5,1,1,1,1,0,1,111101,61,5,20.0,100,800
263,5,0,0,1,1,0,1,001101,13,3,33.333333333333336,100,800
264,5,1,1,0,0,1,1,110011,51,4,25.0,100,800
265,5,1,1,1,0,0,1,111001,57,4,25.0,100,800
266,5,1,0,1,0,1,1,101011,43,4,25.0,100,800
267,5,0,1,0,1,0,1,010101,21,3,33.333333333333336,100,800
268,5,1,1,1,1,0,0,111100,60,4,25.0,100,800
269,5,1,0,0,0,1,1,100011,35,3,33.333333333333336,100,800
270,5,1,0,0,1,1,1,100111,39,4,25.0,100,800
271,5,0,1,1,1,1,1,011111,31,5,20.0,100,800
272,5,0,1,0,0,1,1,010011,19,3,33.333333333333336,100,800
273,5,1,0,0,1,1,0,100110,38,3,33.333333333333336,100,800
274,5,0,1,1,1,1,0,011110,30,4,25.0,100,800
275,5,1,1,0,0,0,1,110001,49,3,33.333333333333336,100,800
276,5,0,1,0,0,1,0,010010,18,2,50.0,100,800
277,5,1,0,1,0,1,0,101010,42,3,33.333333333333336,100,800
278,5,0,1,1,1,0,1,011101,29,4,25.0,100,800
279,5,1,0,1,1,1,1,101111,47,5,20.0,100,800
280,5,0,1,0,1,0,0,010100,20,2,50.0,100,800
281,5,1,0,0,1,0,1,100101,37,3,33.333333333333336,100,800
282,5,0,0,1,1,0,0,001100,12,2,50.0,100,800
283,5,0,1,0,1,1,1,010111,23,4,25.0,100,800
284,5,0,1,1,0,0,1,011001,25,3,33.333333333333336,100,800
285,5,0,0,0,0,1,0,000010,2,1,100.0,100,800
286,5,0,0,1,0,0,0,001000,8,1,100.0,100,800
287,5,0,0,1,1,1,1,001111,15,4,25.0,100,800
288,5,0,1,0,1,1,0,010110,22,3,33.333333333333336,100,800
289,5,0,0,0,0,0,1,000001,1,1,100.0,100,800
290,5,1,1,1,0,1,0,111010,58,4,25.0,100,800
291,5,1,0,1,1,0,1,101101,45,4,25.0,100,800
292,5,1,0,0,1,0,0,100100,36,2,50.0,100,800
293,5,1,0,1,1,0,0,101100,44,3,33.333333333333336,100,800
294,5,1,1,1,1,1,1,111111,63,6,16.666666666666668,100,800
295,5,1,0,1,0,0,0,101000,40,2,50.0,100,800
296,5,1,1,1,0,1,1,111011,59,5,20.0,100,800
297,5,0,0,0,1,1,1,000111,7,3,33.333333333333336,100,800
298,5,1,1,0,0,1,0,110010,50,3,33.333333333333336,100,800
299,5,1,1,0,0,0,0,110000,48,2,50.0,100,800
300,5,0,1,0,0,0,1,010001,17,2,50.0,100,800
301,5,0,0,1,0,1,0,001010,10,2,50.0,100,800
302,5,1,0,0,0,0,0,100000,32,1,100.0,100,800
303,5,1,1,0,1,1,0,110110,54,4,25.0,100,800
304,5,0,0,1,1,1,0,001110,14,3,33.333333333333336,100,800
305,5,1,1,0,1,0,1,110101,53,4,25.0,100,800
306,5,1,0,1,1,1,0,101110,46,4,25.0,100,800
307,5,0,0,1,0,0,1,001001,9,2,50.0,100,800
308,5,0,0,0,1,0,0,000100,4,1,100.0,100,800
309,5,1,1,0,1,0,0,110100,52,3,33.333333333333336,100,800
310,5,0,1,1,1,0,0,011100,28,3,33.333333333333336,100,800
311,5,1,0,0,0,1,0,100010,34,2,50.0,100,800
312,5,0,0,1,0,1,1,001011,11,3,33.333333333333336,100,800
313,5,1,0,1,0,0,1,101001,41,3,33.333333333333336,100,800
314,5,1,1,1,0,0,0,111000,56,3,33.333333333333336,100,800
315,5,0,1,1,0,1,0,011010,26,3,33.333333333333336,100,800
316,5,0,0,0,0,0,0,000000,0,0,0.0,0,900
317,5,1,0,0,0,0,1,100001,33,2,50.0,100,800
318,5,0,0,0,1,0,1,000101,5,2,50.0,100,800
319,5,0,0,0,1,1,0,000110,6,2,50.0,100,800
320,5,1,1,1,1,1,0,111110,62,5,20.0,100,800
321,6,1,1,0,1,0,1,110101,53,4,25.0,100,800
